name,zero_cross_sum,zero_cross_rate_mean,chromagram_mean,mfcc_mean_global,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
No_Angel_-_NaTtA10,15375,0.08679942255434783,0.4380403,1.0548527,-172.15106,92.21677,24.387001,28.077982,13.804033,13.426352,0.9731162,11.424323,-3.642933,11.147085,-6.4510245,10.243518,-4.527783,10.226434,-4.1686172,5.5381722,-6.5966835,3.3364165,-6.391707,0.22566518
Keep_On_-_Quentin_Hannappe20,9230,0.052076256793478264,0.42513007,-1.5259274,-233.31242,116.25034,13.505904,28.835512,12.181226,15.081693,1.6566712,11.318675,2.0266006,3.2634299,-2.6156228,5.156735,-7.6156607,2.9048097,-2.9358475,4.584098,-6.1229887,3.3280537,-3.0291145,5.019359
James_Alley_Blues_-_Tony_Petersen30,12102,0.06802960824275363,0.2886108,-7.8581147,-247.73032,125.33956,5.406419,47.61745,-5.457932,-6.153206,-5.919461,9.162496,-17.68642,-3.8669317,-11.150668,-0.7122716,-5.077013,-3.160548,-10.834483,-7.8115463,-10.426593,1.5843984,-10.190094,-0.09513148
WANT_YOU_BADLY_-_EGOR_BUDENNYY40,18843,0.10651183197463768,0.31045175,-0.78119886,-123.854546,88.72232,-4.823119,35.570538,2.7677712,6.5544624,-4.824053,16.44489,-9.73906,13.762795,-6.1773925,2.5530758,-4.06391,1.6431869,-16.023235,4.228376,-14.868102,3.960082,-4.465091,-2.9929645
The_Blues_-_Aurbanni50,9460,0.053412307518115945,0.36963904,0.7031465,-215.71664,118.55504,15.403314,43.172,18.83468,16.533932,-0.6816759,10.292719,-6.191147,6.8510613,-5.4279284,6.259991,-3.2038517,5.615007,-5.539026,1.9045146,-4.23464,4.6564827,-2.0902865,9.069389
Boogie_Jive_-_12_Bar_Pirates60,16557,0.09354761096014493,0.46306846,1.0649226,-154.1801,96.21963,-0.7217116,35.456184,4.1059065,19.81957,-1.7271936,17.233274,0.15756531,9.495498,-7.829707,6.722528,-3.2957814,7.104523,-6.46421,4.28302,-5.4312,3.787701,-7.0789065,3.641863
Balance_-_Marco_Droetto70,20237,0.11417289402173914,0.42544165,4.093001,-69.714005,85.01212,-13.065675,42.244987,-3.3944137,19.18093,-3.4917912,7.647157,-1.0827248,8.177355,-3.9727702,15.55917,-2.9157667,9.399396,-3.0234768,6.0519576,-9.179726,5.0736876,-6.7904177,0.14402303
Blues_Party_-_Stefan_Kartenberg80,14460,0.08168025362318841,0.33412555,-7.181594,-231.48549,102.960594,0.05259573,30.392582,13.069816,21.008669,-3.8699114,-3.2459471,-8.739609,8.565464,-9.203446,0.35479894,-13.290065,-0.19481733,-10.72193,-0.38821775,-16.093721,-5.4466534,-16.995184,-0.36140874
NO_ONE_EVER_WILL_-_Stefan_Kartenberg90,6254,0.035319010416666664,0.4311714,0.2466219,-217.6818,123.441216,17.24235,66.54447,17.304176,13.897033,-2.8661432,11.73253,-3.3791792,8.388458,-4.107483,0.47104388,-8.752538,2.2712996,-9.441256,-0.09279551,-5.162245,-0.017124534,-7.7473774,2.887795
Done_Time_-_Freeky_Cleen_Dickey_F100,19467,0.10985620471014493,0.39894053,3.4227896,-111.49163,76.64681,-2.5952115,26.135307,4.749249,23.471163,5.4788384,13.255366,0.44001266,19.217026,-2.4564233,7.5250187,-6.859851,5.2477107,-1.210471,-1.2800184,-6.3483872,10.537109,-7.16827,15.162441
012-360561-Marco Tezza-Antonio Vivaldi_ Four Seasons - Excerpt 210,21649,0.1222061820652174,0.29844576,-9.101656,-243.55116,105.48694,-15.162703,28.074303,-12.108907,3.5411823,-15.903514,7.306473,-2.1981373,9.598903,-17.11262,-3.180216,-9.337999,3.7563949,-10.993614,2.1713226,-3.3636327,6.833352,-11.450711,-4.438773
013-429072-Pablo Lentini Riva-onclassical_riva_bach_suite_bwv-1008_5-menuet-1-et-220,5476,0.03091598731884058,0.24575426,-15.427745,-357.94104,181.95628,9.575699,23.444956,14.492595,2.168142,-11.309414,-17.6463,-24.223692,-18.629684,-15.278202,-14.135403,-15.202798,-16.156837,-15.524693,-9.138409,-7.9189334,-3.4087577,-4.077401,-9.601013
"011-359653-Roberto Poli-Mazurka in c sharp minor, Op. 63 No. 330",6588,0.0371872169384058,0.21554965,-16.45625,-403.22037,216.36185,4.066692,-5.5082345,12.664351,-5.0339265,-17.713444,-13.526382,-6.991501,-15.573068,-13.713615,-8.105103,-12.767721,-10.669273,-8.589791,-10.250632,-9.661036,-9.965602,-6.962135,-3.9660478
003-1438341-Madi - Composer-R.Schumann The poet Speaks40,5500,0.031063179347826087,0.21589409,-15.419287,-493.56354,172.33942,82.36477,16.874556,-2.7176583,-2.2912025,-4.2517157,-8.297436,-9.144933,-8.094769,-7.261702,-5.818965,-3.7384427,-2.9636724,-4.352935,-6.4929733,-7.729319,-7.4135137,-5.1822543,-0.6494439
002-1451354-Madi - Composer-Albinoni Adagio for orchestra50,17686,0.09989385190217391,0.23057917,-9.93761,-310.8522,136.80008,-36.671543,33.993484,-23.170479,5.741004,-3.7396946,6.543344,13.562667,17.891094,5.621774,-20.49379,-19.219418,1.1740754,-4.937753,2.7439077,-5.936526,3.6106644,3.377686,-4.790573
014-431344-Giampaolo Stuani-OnClassical - Ravel - La Valse60,7222,0.040765115489130435,0.35335565,-13.13182,-398.22,221.41925,-25.665375,9.599972,15.262231,-1.9497366,-4.369563,-7.8380055,-9.2954645,-9.310832,-6.354984,-6.289606,-3.9660163,-3.6776323,-5.527496,-5.927513,-7.029807,-4.4456406,-2.845314,-6.204867
005-193367-Mauro Bertoli-Schumann Toccata op.770,11482,0.0648536571557971,0.31038916,-9.857143,-331.8441,197.18756,-48.255,21.351908,-10.043274,-3.415723,-8.217164,-6.3352585,-6.158997,1.9441053,-2.4109447,-3.177346,3.6735775,1.8012782,1.8949965,-0.7865585,-0.3094825,-1.8688539,-2.435379,0.26177827
"004-178829-ARTSomerville- Isaac Albeniz- Sevilla, Sevillanas _Suite Espanola Op.47_80",7435,0.04198794157608696,0.23439732,-21.232752,-410.5841,167.6519,2.1908855,5.911767,-12.833558,-11.585176,-18.305931,-13.479215,-15.450603,-19.782797,-20.807096,-20.887375,-17.736404,-12.798202,-15.93541,-11.741637,0.43127373,7.252584,2.0633037,-8.229223
009-285485-Alberto Bologni-Quintet Op. 111 - 2. Adagio90,12046,0.06804376132246377,0.23692396,-20.223183,-409.06525,134.31387,-30.57379,33.072365,-8.924332,-8.049103,-20.444443,-10.752267,-14.114909,-2.32949,-12.187577,-3.556272,-4.5623846,-2.4499226,-11.493073,0.8520078,-3.7599957,-0.49094447,-16.267773,-13.680391
"001-1437148-Madi - Composer-J.S.Bach The Well-Tempered Clavier. Prelude 1, I Book100",5464,0.030857959692028987,0.25754824,-12.772385,-488.63492,244.31082,80.099686,-4.0260515,-6.618481,-2.2987642,-9.166084,-11.554918,-11.551613,-11.786128,-6.7855797,-0.6512628,-0.35259527,-3.5676906,-5.509916,-6.3859897,-7.0935516,-6.5753484,-2.4837701,5.1844554
